************************************
*   Event  *     PH    *    ToF    *
*     2296 * 17.444065 * 71.009735 *
*     2304 * 16.442247 * 72.512481 *
*     2307 * 16.821754 * -797.2445 *
*     2309 * 16.765159 * 70.405059 *
*     2312 * 16.986387 * 73.357605 *
*     2315 * 16.932943 * 72.965301 *
*     2317 * 16.414167 * 73.279510 *
*     2319 * 16.851074 * 71.543518 *
*     2320 * 16.696483 * 69.956024 *
*     2323 * 17.092746 * 73.829864 *
*     2324 * 16.885761 * 77.045867 *
*     2327 * 16.662670 * 74.987457 *
*     2329 * 16.914012 * 76.421722 *
*     2330 * 17.383569 * -921.7741 *
*     2332 * 17.332138 * -1306.653 *
*     2333 * 33.237476 * 74.664398 *
*     2336 * 17.013193 * 72.716857 *
*     2339 * 17.349931 * 67.884613 *
*     2342 * 16.721689 * 76.611084 *
*     2346 * 16.947231 * -1243.112 *
*     2348 * 16.751037 * 78.913085 *
*     2350 * 16.988246 * 73.262603 *
*     2353 * 16.911460 * -808.8661 *
*     2356 * 17.418502 * 77.916778 *
*     2358 * 16.339214 * 73.354003 *
*     2360 *  16.56637 * 77.073669 *
*     2367 * 34.845195 * 75.703430 *
*     2369 * 16.760984 * 70.181854 *
*     2370 * 16.628772 * 74.512329 *
*     2371 * 16.823186 * 72.953552 *
*     2376 * 16.548788 * 70.643219 *
*     2378 * 16.843971 * 77.280914 *
*     2382 * 17.187385 * 73.920257 *
*     2388 * 16.739994 * 78.109405 *
*     2391 * 16.896911 * 73.736419 *
*     2392 * 17.148412 * 76.362365 *
*     2394 * 16.678169 * 81.171691 *
*     2396 * 16.883071 * 71.287109 *
*     2402 * 17.352310 * 69.966735 *
*     2405 * 16.651662 * 73.291626 *
*     2409 * 17.465984 * 70.759643 *
*     2410 * 16.802471 * 75.811737 *
*     2411 *  17.07691 * 71.574829 *
*     2412 * 17.092886 * 75.856658 *
*     2417 * 16.975776 * 68.807403 *
*     2421 * 17.092037 * 74.164337 *
*     2423 * 16.990539 * 71.214050 *
*     2424 *  16.66255 * 75.860748 *
*     2425 * 17.438331 * 76.564300 *
*     2427 * 16.603599 * 81.876892 *
*     2429 * 16.966402 * 47.087921 *
*     2431 * 16.671680 * 79.691925 *
*     2434 * 16.761343 * 74.733001 *
*     2435 * 17.343034 * 70.686889 *
*     2439 * 17.047330 * 72.097137 *
*     2445 * 33.662677 * 75.752777 *
*     2451 * 17.095949 * 75.803955 *
*     2452 * 17.339944 * 61.432708 *
*     2454 * 16.602420 * 77.258453 *
*     2457 * 16.694612 * 73.426971 *
*     2460 * 16.940889 * 75.855804 *
*     2461 * 17.023223 * 79.039428 *
*     2469 * 17.009338 * 74.464874 *
